CUSTOMER_ID,FIRST,LAST,E-MAIL ADDRESS,PHONENUMBER,GENDER,AGE,A_REVENUES,B_REVENUES,C_REVENUES,D_REVENUES,CONNECT_DATE,END_DATE
"K339600","STAN","BOND","name7502@tnet.fr","+44 1152 195298","Male",62,,15,33,38,2003-05-12,
"K249440","FIONA","BROWN","name25485@wwmail.org","07366 602865","Male",13,,,,,2005-10-07,2008-06-14
"K257820","JOHN","THOMPSON","name15543wwmail.de","01160 979447","Male",45,13,19,29,39,2005-02-05,2007-09-08
"K352310","VERA","MILLINGTON","name28335@zigzag.be","01597 501161","Male",27,,,,,2006-02-04,
"K350540","ROBERT","YOUNG","name5354@tnet@jp","01232 637283","Male",19,,,,,2003-04-07,
"K399470","ANGIE","DRISKALL","     ","01296 230679","Male",24,30,14,,,2005-07-25,2006-06-08
"K398470","PAUL","SCOTT","name20636@wwmail.es","(07183) 151418","Male",32,,,32,,2005-09-27,2008-04-14
"K398070","GEORGE","SMITH","name10414@tnet.inc","(07995) 376450","Female",32,8,19,28,41,2006-03-05,2010-05-15
"K397830","JUDITH","MILLER","name10414@tnet.inc","(0208) 0511522","Male",15,,20,,40,2004-12-04,2007-02-19
"K397730","TREVOR","PRICE","name23372@wwmail.inc","+44 208 3960687","Female",55,13,19,31,36,2003-12-23,2006-07-22
"K349080","KEN","ROBERTSON","name20635@wwmail.es","(01544) 668176","Male",20,,,,,2005-12-27,
"K345230","BRIAN","CLINTON","name5356@tnet.jp","(07540) 940315","Female",20,11,,24,43,2003-01-14,
"K344510","GLADYS","WUNDERMAN","     ","0208 4137611","Female",49,,,,,2005-12-28,
"K343680","MARY","GLEN","name6388@tnet.fr","(01472) 119737","Male",30,8,19,34,38,2003-10-31,
"K301350","MARY","BEALE","name10409@tnet.inc","(0208) 6494623","Female",44,,,,,2003-04-28,
"K300780","JOSHUA","BRUNDLE","name13849@tnet.uk","(01156) 145807","Male",64,,,,,2006-09-16,2007-07-07
"K299270","BRIAN","MANDLESON","    ","07731 566115","Female",36,14,19,,40,2005-10-11,
"K296880","PHILLIP","HARDY","name13848@tnet.uk","(0207) 7270589","Male",27,,,,,2006-05-31,
"K294680","KATE","PENCE","name23366@wwmail.inc","(0207) 7542812","Male",43,,,,,2006-02-03,
"K289840","BRIAN","PUGH","name3188@molbe@cat","(01205) 835056","Male",34,,,,,2003-01-19,
"K289630","SALLY","WHITE","name1606@lomejor.es","0208 0084051","Female",49,,,,,2003-12-22,
"K288270","KEN","DUNSTER","name29056@zigzag@cat","01998 564148","Female",45,,13,,,2003-03-19,
